New project list: Table 1
Project_Number,Description,City,Client,Address,Client Contact,Archive?,Phase Type
10000,Vacation,,,,,,Vacation
10100,Business Development,,,,,,Business Development
10200,KWA Non Billable Improvements,,,,,,KWA Non Billable Improvements
13036,Choice - Coquitlam (Superstore),"Coquitlam, BC",Choice,1301 Lougheed Highway,Steve Thompson,n,Standard
14050,"0976440 BC Ltd. - 3011 No. 5 Road, Richmond","Vancouver, BC",Other,,Mr. Bob Cheema,n,Standard
14055,Walmart Gander,"Gander, NL",Walmart,Roe,M Ahmed/A Reyes,n,Standard
15153,Walmart Kitchener,"Kitchener, ON",Walmart,,Kelly Voisin,n,Standard
15191,Windsor West Gill Investments (Ram-Land),"Windsor, Ontario",Other,3585 Forest Glade Drive,Matthew Melchior,n,Standard
15196,CRH - 3087 Harrison Court,"Burlington, ON",Other,,Jessica Ferri,n,Standard
16211,UDGA 1301 Lougheed Highway (Choice),"Coquitlam, BC",UDGA,,Aaron Vornbrook,n,Standard
16212,Medallion - Maurier and Dufferin Commercial,"Vaughan, ON",Other,,Aaron Bleeman,n,Standard
16213,Arutip - Part Lot Agreement Mount Pleasant,"Brampton, Ontario",Other,,Glenn Pitura,n,Standard
16215,33 Fairwood Place - Country Green Homes,"Burlington, Ontario",Other,,Jeff Colyer,n,Standard
16216,VGA Petsmart Woodstock,"Woodstock, Ontario",Other,,Ron Gagliardi,n,Standard
16221,3151 Walmart,Calgary,Walmart,,Kelly Voisin,n,Standard
16222,3650 Walmart,Calgary SE,Walmart,,Kelly Voisin,n,Standard
16223,3013 Walmart,Calgary NE,Walmart,,Kelly Voisin,n,Standard
16224,3152 Walmart,Cambridge,Walmart,,Kelly Voisin,n,Standard
16225,5838 Walmart (Surrey West),Surrey W,Walmart,,Kelly Voisin,n,Standard
16226,3169 Walmart,Vernon,Walmart,,Kelly Voisin,n,Standard
16227,3155 Walmart,Sault Ste Marie,Walmart,,Kelly Voisin,n,Standard
16228,3001 Walmart,Ajax,Walmart,,Kelly Voisin,n,Standard
16229,3186 Walmart,"Pickering, ON",Walmart,,Kelly Voisin,n,Standard
16235,1038 Walmart (Strathroy),"Strathroy, Ontario",Walmart,,Kelly Voisin,n,Standard
16245,Sutton Retirement Home,"Sutton, ON",Other,Dalton and Black River Road,"Thomas Kannampuzha, CEO, ATK Care Group Limited",n,Standard
16251,Walmart Metropolis,"Burnaby, BC",Walmart,Kingsway,Salvatore Arrichiello,n,Standard
16252,Lowe's Waterdown,"Waterdown, ON",Lowes,,Marc St. Jean,n,Lowes
16257,Walmart Cobourg 3133 - Relay,"Cobourg, ON",Walmart,73 Strathy Rd,Carmelo Ragusa,n,Standard
17266,Westdellcorp - Uxbridge,"Uxbridge , ON",Other,,Andrew Glass,n,Standard
17275,Harrison Court Servicing,"Burlington, Ontario",Other,,HC Landowners - Tony Schenkle/Kevin Mitchell,n,Standard
17276,Walmart Okotoks (5708),"Okotoks, Alberta",Walmart,,Carmelo Ragusa,n,Standard
17278,Walmart New Westminster (5777),"New Westminster, BC",Walmart,,Carmelo Ragusa,n,Standard
17279,Walmart Thompson (3102),"Thompson, MB",Walmart,,Carmelo Ragusa,n,Standard
